X:507,O:373,T:120
X:493,O:389,T:118
X:520,O:365,T:115
X:527,O:358,T:115
X:502,O:361,T:137
X:502,O:390,T:108
X:516,O:367,T:117
X:523,O:369,T:108
X:484,O:399,T:117
X:529,O:357,T:114
X:515,O:353,T:132
X:500,O:377,T:123
X:456,O:413,T:131
X:518,O:357,T:125
X:493,O:381,T:126
X:497,O:376,T:127
X:489,O:384,T:127
X:524,O:360,T:116
X:511,O:367,T:122
X:540,O:361,T:99
X:510,O:386,T:104
X:501,O:382,T:117
X:520,O:363,T:117
X:486,O:374,T:140
X:527,O:356,T:117
X:487,O:392,T:121
X:512,O:380,T:108
X:527,O:362,T:111
X:500,O:384,T:116
X:505,O:371,T:124
X:512,O:365,T:123
X:484,O:371,T:145
X:531,O:354,T:115
X:500,O:382,T:118
X:496,O:375,T:129
X:507,O:397,T:96
X:476,O:397,T:127
X:482,O:395,T:123
X:492,O:379,T:129
X:536,O:359,T:105
X:497,O:391,T:112
X:481,O:382,T:137
X:521,O:365,T:114
X:507,O:365,T:128
X:493,O:380,T:127
X:480,O:407,T:113
X:492,O:378,T:130
X:508,O:359,T:133
X:492,O:388,T:120
X:517,O:360,T:123
X:501,O:370,T:129
X:492,O:391,T:117
X:509,O:353,T:138
X:513,O:367,T:120
X:507,O:366,T:127
X:517,O:372,T:111
X:520,O:362,T:118
X:513,O:372,T:115
X:519,O:351,T:130
X:522,O:358,T:120
X:513,O:371,T:116
X:551,O:341,T:108
X:519,O:363,T:118
X:496,O:390,T:114
X:488,O:391,T:121
X:537,O:360,T:103
X:504,O:383,T:113
X:492,O:390,T:118
X:461,O:421,T:118
X:505,O:371,T:124
X:458,O:416,T:126
X:500,O:379,T:121
X:523,O:365,T:112
X:494,O:369,T:137
X:490,O:393,T:117
X:521,O:371,T:108
X:523,O:365,T:112
X:483,O:393,T:124
X:503,O:377,T:120
X:497,O:374,T:129
X:495,O:379,T:126
X:508,O:377,T:115
X:502,O:382,T:116
X:518,O:359,T:123
X:487,O:400,T:113
X:502,O:380,T:118
X:516,O:368,T:116
X:502,O:392,T:106
X:500,O:379,T:121
X:511,O:384,T:105
X:507,O:373,T:120
X:524,O:371,T:105
X:520,O:354,T:126
X:491,O:385,T:124
X:509,O:369,T:122
X:506,O:383,T:111
X:494,O:387,T:119
X:511,O:365,T:124
X:506,O:375,T:119
X:533,O:360,T:107
X:504,O:366,T:130
X:501,O:375,T:124
X:495,O:385,T:120
X:498,O:385,T:117
X:517,O:341,T:142
X:518,O:375,T:107
X:499,O:382,T:119
X:494,O:387,T:119
X:533,O:348,T:119
X:542,O:350,T:108
X:533,O:357,T:110
X:520,O:357,T:123
X:508,O:368,T:124
X:501,O:379,T:120
X:542,O:349,T:109
X:514,O:374,T:112
X:491,O:370,T:139
X:528,O:338,T:134
X:493,O:379,T:128
X:504,O:376,T:120
X:488,O:383,T:129
X:519,O:356,T:125
X:501,O:390,T:109
X:528,O:340,T:132
X:524,O:361,T:115
X:510,O:360,T:130
X:499,O:388,T:113
X:504,O:388,T:108
X:514,O:370,T:116
X:515,O:361,T:124
X:494,O:392,T:114
X:500,O:385,T:115
X:524,O:357,T:119
